latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value
39.61,22,2828,610,986,391,2.8871,94700
39.65,35,632,148,221,102,2.3684,62500
39.55,17,1483,284,481,211,1.4896,83300
39.52,15,2490,527,1229,497,2.3917,85700
39.52,9,818,197,358,197,1.7708,79500
39.52,26,1957,429,945,397,1.7308,53600
39.53,12,1733,421,1861,415,1.5771,65200
39.6,15,886,204,576,205,2.1467,84100
39.54,14,5549,1000,1822,919,2.9562,142300
39.52,25,848,153,436,155,3.9028,93800
39.5,26,1652,325,790,292,3.0446,90800
39.49,17,1554,242,553,230,3.2174,91800
39.51,19,3720,636,1304,607,2.6921,97500
39.53,35,1806,293,683,295,4.5156,91200
39.52,30,1030,161,448,159,2.4821,73800
39.52,24,1028,185,471,186,2.9688,86400
39.51,33,3585,757,1887,765,2.502,62100
39.51,30,3085,610,1688,575,2.334,72200
39.51,39,1551,353,684,310,2.0357,57600
39.51,48,827,198,396,161,0.8024,58300
39.51,50,1050,288,485,260,1.1607,51700
39.51,47,1064,245,603,190,1.3654,57900
39.51,46,1885,385,871,347,1.6352,53100
39.5,31,2023,469,1073,436,1.5714,56100
39.52,25,2409,490,1384,479,1.9956,58000
39.51,24,1865,372,1087,385,1.6389,56700
39.5,29,1947,383,925,337,2.1658,57600
39.5,18,2105,416,974,385,1.6346,63300
39.52,24,1610,324,909,323,1.8661,59800
39.53,23,1387,325,640,289,1.4833,65200
39.48,15,202,54,145,40,0.8252,42500
39.5,26,3215,827,2041,737,1.0585,45100
39.5,38,1438,310,779,275,1.3289,39400
39.49,19,1537,329,617,274,1.5313,50300
39.48,29,2896,596,1809,617,1.8047,53800
39.47,14,1724,315,939,302,2.4952,53900
39.48,41,461,107,284,90,2.2045,41800
39.49,20,2505,468,1174,429,2.9965,88900
39.5,33,1462,241,569,231,3.2833,82600
39.49,30,1217,238,677,233,2.6563,63600
39.48,21,2628,494,1364,468,2.0455,59400
39.45,18,2278,523,1185,475,1.3611,60600
39.44,26,1340,255,662,239,2.6071,57100
39.44,31,1434,283,811,289,1.7727,49000
39.43,15,2119,389,1079,374,2.3566,80400
39.4,17,3659,735,1970,667,2.425,96200
39.39,52,189,34,121,37,3.0208,60000
39.33,27,720,150,359,138,2.5313,61300
39.39,22,2515,482,1284,462,2.1776,73800
39.37,27,2599,502,1241,502,1.9943,86300
39.35,24,1003,251,1098,227,1.7552,86400
39.34,22,1217,224,537,187,2.6607,84600
39.32,40,812,154,374,142,2.7891,73500
39.36,29,2220,471,1170,428,2.3224,56200
39.37,32,1852,373,911,365,1.7885,57000
39.36,46,1210,243,523,242,1.91,63900
39.36,37,2330,495,1505,470,2.0474,56000
39.36,34,842,186,635,165,1.8355,63000
39.38,27,2596,435,1100,409,2.3243,85500
39.33,30,1019,192,501,185,2.5259,81300
39.42,21,1432,284,862,275,2.2813,57600
39.41,22,1814,342,941,323,2.1728,59400
39.4,29,1687,327,864,334,2.4943,81900
39.48,39,1105,180,408,166,3.3929,82100
38.15,16,4221,781,1516,697,2.3816,116000
38.12,10,1566,325,785,291,2.5,116100
38.09,34,2745,559,1150,491,2.3654,94900
38.07,27,1199,224,463,199,2.9063,92200
38.07,37,736,148,339,140,2.2875,79900
37.97,9,7450,1475,2233,930,2.6528,133000
38.09,16,3758,715,1777,615,3,122600
38.24,19,1003,235,538,190,2.9821,90400
38.2,16,3120,641,1319,526,2.0472,93200
38.16,8,2029,387,1000,364,4.0109,125900
38.11,9,3585,680,1800,598,3.636,133100
38.12,7,7188,1288,3175,1115,3.8488,130600
38.28,21,3095,681,1341,546,2.1382,104000
38.24,32,2685,543,1061,492,2.5473,101600
38.19,17,2967,611,1387,564,2.0417,92600
38.2,13,4110,847,1796,706,2.6417,122300
38.25,13,763,161,311,125,2.4583,112500
38.39,20,1326,307,563,237,2.6667,86600
38.41,21,1435,294,668,267,2.5667,77400
38.42,18,2912,663,999,411,2.7344,91900
38.33,17,1463,338,529,226,3.024,100900
38.31,18,1411,312,592,230,1.625,94700
38.35,17,1504,358,661,250,2.2604,84800
38.21,10,4300,845,1480,609,2.8208,139900
38.23,10,3757,722,546,223,3.75,121400
38.26,13,2962,546,252,103,4.4063,155800
38.25,17,5497,1056,997,408,2.9821,111500
38.23,13,4401,829,924,383,2.6942,123500
38.25,13,4495,856,1149,459,2.5352,113700
38.29,10,3486,695,298,124,3.3542,103800
38.31,13,3297,662,267,97,3.075,108300
38.42,11,1568,369,82,33,3.125,77500
39.03,48,1096,218,657,199,2.7841,65800
38.99,39,1548,323,815,286,2.9489,67500
39,23,3832,774,2435,747,2.2754,59200
39.15,17,6440,1204,3266,1142,2.7137,72000
39.22,27,1446,295,670,281,3.2625,92800
39.25,52,224,38,120,45,3.017,112500
39.1,10,266,62,154,49,2.25,75000
39.15,33,1064,174,434,147,3.125,108000
39.13,28,4169,895,2587,810,2.331,65500
39.34,44,1064,230,494,175,2.875,61500
39.31,35,2791,552,1395,476,2.5625,62700
39.3,19,1629,386,551,214,1.7463,68800
39.21,50,1592,372,781,307,2.2679,69100
39.21,52,1989,392,985,396,2.5556,75800
39.21,39,1214,250,660,249,2.4559,75000
39.3,39,701,130,271,89,2.1845,112500
38.03,28,3144,694,1095,482,3.4402,192400
38.03,17,2549,596,1169,500,3.6694,209400
38.04,25,2019,411,888,326,3.2619,183800
38,3,9217,1522,3578,1272,5.0016,189100
38,7,7957,1314,4460,1293,4.9618,156500
37.98,5,7105,1143,3523,1088,5.0468,168800
37.98,19,3388,599,1707,575,3.6411,162800
37.98,9,3079,519,1562,512,5.1041,172900
37.99,27,3861,718,2085,707,3.3558,129700
37.99,22,1046,195,527,164,4.375,213500
37.93,44,1014,225,704,238,1.6554,119400
37.94,36,1710,320,861,300,2.8828,131100
37.95,15,1850,441,1348,403,3.8125,125400
37.96,33,2396,452,1391,465,3.2813,151400
37.93,19,2055,358,1064,350,4.7426,263100
37.91,17,1962,291,825,267,4.8958,187100
37.93,19,2005,405,972,403,2.2216,156700
37.95,5,4980,774,2399,763,5.7104,186300
37.93,10,3258,612,1779,558,4.6587,152500
37.91,13,2479,394,1075,350,5.1017,241400
37.9,5,14684,2252,4276,1722,6.9051,340900
37.86,30,1428,287,989,287,3.691,154400
37.85,22,1999,415,967,320,4.4583,253900
38.01,46,2273,495,1088,447,2.2532,109400
38.01,47,1942,430,1074,393,2.2361,105100
38.01,52,1124,245,528,226,2.2639,128500
38.02,46,176,43,101,40,2.2361,93800
38.01,42,1017,253,798,266,2.1719,99100
38.01,50,1120,281,625,239,1.5988,96400
38.01,25,3018,606,1614,568,3.4722,127000
38.02,46,66,22,37,21,0.536,87500
38.01,19,2688,469,1216,422,4.4491,133900
38.01,17,4032,814,1749,618,3.1728,146800
38,34,3090,593,1588,566,3.6118,124700
38.01,44,3184,581,1399,548,2.7234,110200
38.01,37,3058,567,1351,523,3.5179,130800
38,8,2371,375,1094,396,5.3245,174500
38.01,13,2983,534,1417,510,3.9861,168100
37.99,18,2807,445,1315,437,4.8194,170400
37.99,22,2331,359,1086,340,5.1435,150800
37.98,13,3995,605,1969,607,5.0164,165200
38.01,47,1265,254,587,247,2.6364,93500
38,29,2070,452,985,420,2.8466,113400
38,37,2724,579,1400,540,2.905,97300
38,30,3268,567,1714,565,4.4583,131000
38,26,3364,570,1806,566,4.2647,133400
38,24,2269,584,1239,542,2.0411,100000
38,15,6365,1646,3838,1458,2.5495,103600
38,25,1710,288,799,259,4.8359,145300
37.99,23,1150,174,572,174,4.9167,152400
37.99,23,1970,296,935,279,4.4853,145900
37.99,18,2741,449,1507,460,4.7566,142500
38,8,2572,738,1384,684,1.7161,75800
37.99,13,4545,952,2188,901,3.3625,126100
37.99,15,2380,385,1292,388,4.6029,142600
37.99,16,2919,462,1456,453,5.6779,164700
38,36,1141,234,562,213,2.5893,108500
37.99,10,4156,609,1878,586,5.6506,178600
37.99,18,3646,534,1651,535,5.7321,164700
38,34,2738,475,1316,459,3.5368,122500
37.99,16,3077,465,1575,446,5.5,179500
37.99,4,5623,780,2429,716,5.4409,205100
38.03,10,2769,619,1045,469,4.1111,158600
38.04,36,1489,331,838,259,1.2024,90200
38.04,52,242,59,188,54,1.3958,67500
38.02,52,2264,439,1403,476,2.7083,99400
38.03,52,1225,250,725,231,2,101400
38.03,51,2982,689,1831,608,2.0034,87700
38.02,46,2112,466,1249,382,2.5737,87000
38.02,36,2707,550,1827,545,3.3371,94600
38.02,5,1560,369,1037,372,3.6154,181800
38.02,31,3644,746,2229,678,3.1389,117800
38,16,2605,440,1352,408,4.1947,140300
38.01,9,5329,1284,2827,1202,2.7374,150000
38.01,30,4114,743,1994,722,4.2227,134400
38,22,721,117,367,129,5.3098,151900
38,4,4075,927,2239,849,3.5857,165200
38,16,3216,464,1504,453,5.25,161700
37.99,4,2171,597,928,461,4.1016,170500
37.99,16,3787,515,1606,507,5.5676,174200
38,17,2713,442,1475,415,4.8542,144100
37.99,15,2203,312,1051,311,4.9783,163900
38.01,28,3639,751,2362,641,3.0042,103900
38.02,12,1497,360,943,341,2.1417,122200
38.01,16,2604,454,1696,481,4.6628,136000
38.02,8,2750,479,1526,484,5.102,156500
38.01,32,1000,188,663,212,4.0972,99200
38.01,34,3779,766,2356,722,3.5129,110600
38,14,1930,363,990,322,4.1094,162200
38,14,2677,368,1288,375,6.0497,177500
38.01,7,1632,248,879,262,6.1237,166000
38.01,9,2294,389,1142,365,5.3363,160800
38.02,13,1524,286,940,308,5.1337,154800
38.03,5,5526,111,3207,1012,4.0767,143100
38.03,27,1654,478,1141,420,1.4871,87100
38.02,35,2691,542,1409,505,3.016,95300
38.02,9,3360,833,2041,810,2.1013,100700
38.02,29,5765,1170,3266,1131,2.7907,113900
38.03,16,2176,464,1410,434,3.5436,100200
38.02,16,1840,355,1288,338,4.2067,125000
38.02,15,2966,558,1687,527,3.4817,129800
38.04,38,2505,554,1595,498,2.5833,83500
38.03,17,3685,685,1939,649,3.7043,139800
38.05,31,2810,518,1640,503,3.3661,98500
38.02,44,1465,247,817,237,4.8693,156900
38.03,4,2341,408,1235,431,6.0424,165900
38.02,44,1625,432,825,385,2.0523,133900
38.03,42,118,34,54,30,2.5795,225000
38.02,52,2378,508,940,451,2.9583,166000
38.01,48,2123,494,859,474,1.8523,144800
38.01,50,1760,341,741,316,4.5,178300
38.01,51,1262,309,608,298,2.1974,139300
38,33,2821,652,1206,640,2.5481,150800
38.02,40,1800,290,761,277,5.1265,196100
38.01,39,1313,306,575,231,3.1711,116100
38.01,41,1345,272,718,283,3.3831,129400
38,20,6992,1404,3221,1334,4.2042,166400
38.01,50,1300,263,691,239,3.9519,126500
38.01,50,1738,355,837,363,3.609,135700
38.01,42,2225,367,864,381,4.1189,172400
38.02,37,1742,339,1128,345,3.8824,113700
38.02,28,4308,824,2086,776,3.6523,159700
38,37,978,202,462,184,3.625,156300
38,6,10191,1882,4377,1789,5.2015,204200
38,9,3424,583,1460,543,5.76,212600
37.99,19,4657,739,1914,732,5.0509,199900
37.99,19,3073,506,1773,493,5.4496,205400
37.99,16,3913,710,1782,676,5.1297,206700
37.99,10,2864,514,1300,507,4.3875,287700
37.97,9,2643,439,1105,467,6.6579,245200
37.97,5,5303,779,2017,727,6.9961,294100
37.98,11,4371,679,1790,660,6.135,297300
37.98,14,5381,871,2296,872,5.6875,211000
37.99,33,1660,277,741,261,4.675,225400
37.97,18,4326,655,1753,646,5.6931,269600
37.96,20,3796,650,1679,611,4.3571,228200
37.96,25,1374,206,569,235,6.3699,235500
37.99,28,3310,574,1811,597,4.5401,166900
37.98,12,6915,1639,2940,1468,4.0154,186100
37.97,20,1705,353,856,341,3.7262,211800
37.96,34,1692,290,836,289,5.0172,197100
37.96,37,1784,313,788,304,4.2917,189600
37.96,21,9135,1534,3748,1502,6.0859,266000
37.95,36,2213,386,950,370,4.7386,186400
37.95,39,2199,388,1025,385,4.5893,190000
37.95,24,3173,548,1351,536,5.0672,243000
37.95,33,1043,157,425,148,4.8702,235600
37.96,37,1217,199,552,194,5.0445,196200
37.96,10,7136,1691,2959,1507,3.9816,182000
37.95,34,1408,277,738,269,4.175,169400
37.94,22,4162,1194,1804,1185,2.5459,179300
37.94,19,4005,972,1896,893,2.5268,235700
37.94,36,2639,488,1111,476,3.5057,205100
37.94,30,1260,276,707,221,2.892,220800
37.93,35,4043,689,1832,662,5.0761,233200
37.94,44,2185,357,943,366,4.725,232100
37.94,43,1454,234,683,258,4.475,265700
37.95,32,1339,209,601,209,6.0265,247900
37.94,29,6895,1022,2634,1022,6.1922,273200
38,16,3077,733,1447,709,3.2484,91100
37.99,32,1504,279,749,267,3.2,134500
37.99,36,2765,495,1478,441,4.125,136200
37.97,16,60,10,65,19,6.1359,250000
37.99,16,2445,469,721,474,2.8043,87500
37.99,17,1319,316,384,269,1.8229,137500
38,36,2476,472,1213,393,3.7333,136400
38,16,1085,217,356,232,2.3462,75000
37.98,16,1209,477,627,482,1.3894,156300
37.97,10,974,316,631,286,2.3152,140600
38,25,3577,581,1753,593,5.7295,178300
38.01,27,3228,562,1666,588,4.5707,175900
37.99,38,2675,541,1378,480,3.8897,139900
37.98,45,2842,567,1261,535,3.6042,138200
38,28,2965,533,1591,472,4.6375,178200
37.99,35,3103,537,1614,566,4.9022,169300
37.99,37,2247,416,1237,397,4.45,161900
37.99,37,1755,327,882,350,4.59,166600
37.98,44,1254,252,498,217,3.4531,148900
37.98,25,1476,336,777,297,3.5179,165500
37.98,29,2001,373,956,370,4.317,194000
37.98,32,1013,169,436,173,5.1118,226900
37.97,27,2491,428,1171,431,5.1021,202800
37.97,32,3012,527,1288,512,3.6449,211500
37.98,40,1797,401,756,369,2.8456,165500
37.98,37,1474,343,782,331,3.4187,161700
37.99,28,4035,641,1881,659,5.4607,192300
37.98,31,2030,337,867,341,5.0915,193200
37.98,23,2293,411,969,399,4.4536,184000
37.97,28,2839,428,1372,443,6.2135,217200
37.98,35,1192,201,535,172,4.9219,182000
37.98,36,404,77,237,88,4.525,161300
37.98,34,1256,267,638,252,4.0507,161000
37.99,28,1900,401,918,351,3.7841,144900
37.96,18,2739,393,1072,374,6.1436,259500
37.97,27,1691,289,807,296,6.1168,210500
37.97,24,1330,183,656,205,5.0092,244100
37.96,28,1433,290,877,313,4.7891,184800
37.96,28,1838,273,899,270,5.2145,229200
37.95,7,3418,740,1583,676,3.6133,196100
37.96,22,2987,31,1420,540,3.65,204100
37.97,26,1977,264,817,273,5.7512,240200
37.97,26,2714,390,1232,409,5.9617,231100
37.97,26,2738,428,1316,430,5.2442,213200
37.97,22,2823,509,1271,474,5.1333,207200
37.97,30,3320,589,1470,543,4.6071,184100
37.96,32,3364,666,1980,678,3.7,179000
37.96,28,4071,713,2033,647,4.5833,190700
37.95,13,3216,765,1627,715,3.0859,167800
37.95,8,4253,709,1883,662,5.431,246700
37.96,12,5048,1122,2209,1014,3.1573,126700
37.96,16,3324,479,1470,461,7.6166,260400
37.96,17,2756,423,1228,426,5.5872,200600
37.95,14,6290,854,2724,820,6.7371,267400
37.95,16,2984,406,1317,397,6.7821,265900
37.97,34,3259,498,1250,478,5.3794,206200
37.97,36,2342,436,1191,416,4,171000
37.97,45,1613,338,865,336,3.25,151100
37.97,26,2470,626,1174,573,2.9861,160900
37.97,20,3968,931,2629,903,2.9915,166700
37.96,16,2913,723,1705,693,2.9097,106300
37.97,21,6445,1839,3621,1735,2.5841,112500
37.97,39,1323,245,705,261,3.1968,151000
37.96,20,1143,346,578,298,2.2411,151800
37.96,35,2190,384,1154,401,3.8456,159800
37.96,28,1207,252,724,252,3.6964,165700
37.96,27,2587,729,1500,623,1.837,175000
37.95,27,3513,791,1875,694,3.1838,182000
37.95,20,563,107,246,123,5.4482,190800
37.95,8,3866,539,1555,513,6.0901,298200
37.96,25,2615,368,935,366,6.6727,305100
37.96,20,2636,691,1142,627,2.1083,162500
37.95,14,3287,793,1601,716,3.1719,220500
37.95,25,1205,260,608,272,2.4519,208300
37.95,32,1955,313,804,317,4.9485,202300
37.95,22,3526,510,1660,508,5.6642,237000
37.94,23,3516,661,1465,623,4.2569,213100
37.94,23,3741,23,1339,499,6.7061,322300
37.94,19,3192,612,1317,594,4.125,267100
37.94,26,1619,224,706,220,6.0704,268000
37.94,18,2077,298,937,292,6.3809,273600
37.95,9,2214,256,848,239,6.8145,339200
37.93,25,2652,335,1062,334,7.5898,330200
37.95,33,1653,334,814,328,3.1406,163100
37.94,24,5732,873,2444,888,5.6292,231400
37.94,22,2105,354,993,365,4.6602,227800
37.95,29,866,138,341,133,4.7188,197100
37.95,22,5175,1213,2804,1091,2.85,144600
37.94,21,5541,776,2214,737,5.5777,279300
37.93,21,4712,624,1773,615,6.0918,344800
37.93,5,4274,1153,1503,881,4.0473,266500
37.93,15,7803,1603,2957,1546,4.45,184900
37.92,14,12713,2558,4741,2412,4.7094,234700
37.92,26,5077,640,1872,636,7.4713,351200
37.92,23,3318,408,1124,393,6.5847,358800
37.91,21,10093,1269,3645,1219,7.6877,367700
37.91,29,5438,871,2310,890,5.0362,275300
37.91,15,5393,1422,2133,1288,4.1612,232800
37.9,25,5869,1685,2669,1554,2.6998,216100
37.89,21,4985,1590,2575,1458,3.1002,114300
37.93,45,1544,244,614,238,5.0255,226000
37.93,25,7201,1521,3264,1433,3.7433,252100
37.92,26,3872,739,1629,684,4.4312,225000
37.92,28,2377,469,1068,435,4.4561,250000
37.92,26,1733,265,796,274,6.195,264900
37.91,28,1731,295,810,295,5.0391,259800
37.91,33,1550,277,638,254,3.6833,292500
37.9,32,1075,170,486,173,5.0499,306800
37.91,18,9576,1455,3486,1380,7.0895,306900
37.89,28,3410,746,1428,670,4.3864,266800
37.89,39,3018,501,1223,489,6.2924,283900
37.9,29,4133,770,1691,744,5.1097,288000
37.89,38,2139,343,809,340,5.5636,268800
37.89,38,757,124,319,123,5.6558,263300
37.88,34,4781,703,1879,714,6.5378,340900
37.87,30,2296,329,847,322,6.7192,397500
37.9,24,4125,1020,1699,873,2.9526,271000
37.9,32,2676,484,986,473,4.6528,335700
37.89,37,1677,269,689,283,4.2625,310600
37.89,33,2423,322,998,346,7.5349,349100
37.9,32,4498,862,1818,851,4.8088,321200
37.9,20,5467,1044,2310,963,5.6986,275800
37.89,29,6349,858,2450,778,7.5,356200
37.88,32,3250,550,1230,557,4.6424,312700
37.86,29,3025,477,1035,452,6.112,390600
37.85,27,6039,780,2181,761,9.5862,469400
37.73,22,1980,291,861,290,6.2726,258200
37.73,22,6719,1068,2843,994,6.1265,260300
37.73,23,2564,347,1043,351,6.2048,275000
37.73,8,831,231,404,224,3.375,350000
37.74,19,1127,170,518,167,6.3325,250000
37.74,19,5721,837,2653,813,6.2631,266000
37.75,17,2559,370,1238,377,6.2781,269800
37.73,24,1407,327,501,295,2.4821,157200
37.74,16,3326,419,1272,402,6.8806,343500
37.75,16,5121,735,2464,761,6.6204,296100
37.79,17,5688,824,2111,773,6.6131,312500
37.8,17,3354,422,1457,425,7.6473,345800
37.8,16,2498,330,1027,343,8.155,343700
37.81,18,2903,387,1127,372,5.5921,359100
37.81,12,6488,778,2404,765,8.3188,403400
37.8,17,3279,418,1222,381,7.9168,356000
37.8,8,11336,1657,4089,1555,7.8287,369200
37.79,16,3873,484,1451,501,6.7857,341300
37.78,4,14652,2826,5613,2579,6.3942,356700
37.76,8,3865,463,1548,432,9.7037,425100
37.76,4,6875,1439,2889,1307,4.6932,356100
37.76,5,2255,269,876,258,10.3345,461400
37.74,8,452,51,140,43,12.5915,432400
37.78,2,227,35,114,49,3.1591,434700
37.74,2,200,20,25,9,15.0001,350000
37.76,8,3743,581,1633,567,6.7027,381900
37.77,13,7241,1007,3221,947,7.2216,324600
37.74,8,2865,389,1376,417,7.9393,399300
37.84,34,1879,265,729,263,7.7072,443800
37.83,30,3917,549,1330,544,6.5617,386600
37.82,20,2206,458,926,432,4.6042,256400
37.82,22,1248,271,579,269,3.375,200000
37.83,24,5948,738,1997,710,9.8708,500001
37.77,14,8213,1364,3283,1286,5.1755,294800
37.81,17,465,83,146,75,4.9018,188500
37.8,11,6200,907,2286,896,7.6518,359300
37.87,21,3521,447,1396,467,8.2673,358700
37.88,16,3031,438,1087,421,7.3732,287300
37.87,14,3056,369,1209,377,8.4352,441400
37.86,25,3004,393,1145,376,7.2655,494000
37.86,18,8953,1074,3011,993,10.7372,500001
37.87,4,1029,126,416,122,13.4883,500001
37.84,29,7479,977,2744,943,7.5139,398200
37.84,16,7681,946,2777,908,9.5271,500001
37.85,10,3209,379,1199,392,12.2478,500001
37.83,16,2939,380,1177,396,8.0839,372000
37.82,18,9117,1248,3280,1167,8.003,351300
37.81,5,7178,898,2823,907,9.0776,450400
37.93,20,10212,1424,4083,1374,8.039,382200
37.94,22,4949,626,1850,590,10.4549,500001
37.9,38,827,144,368,136,6.5095,294400
37.9,32,5738,746,2099,732,10.3224,500001
37.91,34,5683,755,1962,723,8.3678,455300
37.89,35,880,139,352,132,6.8686,406500
37.89,21,3282,653,1398,601,5.2079,310300
37.89,32,2372,516,1067,492,4.3235,279500
37.88,37,4005,614,1602,606,6.4666,348200
37.88,35,2785,362,1001,363,8.0448,433300
37.89,30,3227,733,1260,684,4.125,257100
37.89,27,744,214,295,169,2.7411,350000
37.87,18,1820,220,728,229,10.3713,426100
37.88,34,6986,1096,2865,1124,6.2275,394400
37.88,11,1077,318,590,264,3.5536,387200
37.88,24,2059,462,410,294,2.3971,99400
37.88,26,2947,21,825,626,2.933,85000
37.87,24,6130,1359,1750,1286,2.9167,102700
37.85,17,7475,1556,2092,1449,3.6437,186500
37.86,23,1025,205,263,191,3.12,155000
37.86,16,5187,1014,1512,986,4.4551,252400
37.86,17,1102,224,317,208,3.5893,206300
37.87,26,2405,564,680,531,2.4896,73400
37.88,35,3701,528,1511,517,7.2315,367100
37.86,27,5484,760,2212,770,7.6202,402600
37.87,33,3398,500,1351,457,6.5814,314200
37.85,18,5252,686,1870,657,8.0074,454100
37.84,17,1320,159,1722,141,11.7064,500001
37.81,26,4048,513,1486,498,7.6717,416500
37.82,26,2269,317,918,313,6.6657,364500
37.83,19,5130,741,1887,712,7.203,369900
37.82,4,2045,237,830,252,11.3421,500001
37.86,20,6201,1182,2415,1141,4.5744,314000
37.85,27,9147,1276,3371,1269,7.3267,389900
37.84,24,2131,343,874,373,5.6349,355600
37.83,16,4596,705,1480,650,7.52,370200
37.86,36,3359,493,1298,483,8.1586,404300
37.88,36,542,119,231,121,4.9,354200
37.86,33,4449,636,1684,617,8.9571,399700
37.89,32,1779,241,721,258,8.7589,434500
37.88,32,3633,508,1393,506,7.6917,401800
37.88,33,3626,502,1348,480,7.6107,423200
37.87,38,1261,177,472,183,6.917,438000
37.88,20,95,13,31,15,2.4444,475000
37.89,37,3881,560,1315,517,7.3195,367500
37.88,36,1065,160,398,155,7.7736,378100
37.91,31,7200,876,2428,843,10.9405,500001
37.9,36,2107,287,740,280,10.3416,500001
37.9,36,4760,610,1511,572,9.0064,500001
37.89,18,4845,735,1634,734,8.1489,499000
37.98,8,7505,1089,3325,1016,5.2699,204200
37.97,8,1584,236,615,202,6.4753,166800
37.97,4,17032,2546,7653,2359,5.5601,213700
37.95,17,1133,244,716,235,2.875,162500
37.83,11,2836,373,959,335,10.5815,500001
37.82,4,11444,1355,3898,1257,13.2949,500001
37.81,7,3477,416,1216,395,13.1499,500001
37.81,12,4711,659,2089,621,8.3209,485400
37.99,2,3129,707,1606,698,2.9591,210100
37.94,26,3084,505,1557,501,5.1582,194700
37.95,25,4026,791,1850,709,4.1483,181200
37.94,21,3153,411,1318,431,6.8642,285400
37.93,4,3241,464,1552,494,6.6134,307000
37.92,18,2808,337,1038,337,8.3956,353600
37.92,16,2638,345,1055,334,8.1163,365800
37.92,14,1780,224,764,226,9.0243,427700
37.89,13,2085,292,852,264,7.3445,366700
37.96,14,5332,884,2093,839,5.2798,237400
37.95,18,2541,355,986,346,7.1978,288000
37.93,13,1610,198,703,217,8.7059,329400
37.94,26,1299,174,533,180,6.2296,291700
37.93,16,3421,427,1341,428,7.5695,320400
37.93,16,2876,391,1089,377,6.299,286900
37.93,16,2169,262,877,245,6.6049,312600
37.94,27,1469,216,578,219,5.9346,253600
38.02,16,1803,267,946,266,5.7001,205100
38.03,15,3338,532,1834,520,5.6293,197600
38.02,15,2150,327,1094,324,6.0224,198500
37.96,9,6306,962,2581,911,6.7741,310700
38.06,52,1350,266,490,257,3.125,171100
38.05,52,1736,358,638,297,2.5517,147100
38.06,52,2735,559,1076,487,3.6154,155700
38.04,31,3029,500,1236,487,5.6022,197000
38.03,25,2239,361,928,353,4.4474,203700
38.04,47,1685,405,835,372,2.3103,134500
38.03,41,1631,282,752,288,3.9345,150200
38.04,41,2512,539,1179,480,2.694,123000
38.05,30,1255,297,779,307,1.6767,147700
38.06,4,7999,1611,3596,1396,5.0969,174200
38,26,2335,413,980,417,3.4471,178900
38,16,4986,1081,2805,1016,4.025,173200
38.03,32,2159,393,981,369,4.3173,175400
38,34,1712,317,956,341,4.4394,162000
38,26,3735,641,1708,633,4.621,191100
38.01,18,4123,874,1895,772,3.2759,195000
37.99,28,3801,622,1654,571,4.375,193300
37.98,28,2038,329,947,349,5.1178,198000
37.99,16,4921,737,2312,725,5.8899,243200
37.98,23,3455,479,1375,474,6.0289,218600
38.02,5,3846,786,2053,716,5.0473,184800
38.01,11,3751,565,1949,555,5.7862,269400
38.01,16,2084,315,1154,307,6.0102,235600
38,16,2978,411,1531,400,6.5006,237700
38,14,2338,391,1003,398,4.2269,170500
38,6,678,104,318,91,5.2375,246400
38,15,1216,166,572,178,5.8418,240300
38,12,1592,242,969,233,6.1576,248700
38,5,6265,908,3326,872,6.2073,272900
37.98,27,2133,347,850,350,5.1046,209800
37.96,35,1579,243,734,264,5.5,201000
37.97,10,15259,2275,7266,2338,6.0666,272400
37.97,30,4030,772,1777,718,3.6393,184000
37.97,34,2854,528,1211,452,3.5353,164700
37.97,20,3426,632,1512,580,4.4911,227400
37.97,35,1811,377,911,340,3.375,149700
37.94,20,7578,1426,3637,1362,4.4387,190000
37.95,37,1887,353,895,359,4.45,196600
37.94,38,1794,349,810,335,3.8343,191400
37.94,38,2172,403,945,384,4.3958,194200
37.95,36,1425,245,573,239,4.35,185000
37.99,25,6508,1137,3259,1081,4.2348,157800
37.98,25,3807,806,1821,792,3.6518,164300
37.97,29,2347,464,1135,490,3.9722,161000
38.01,26,3054,492,1495,496,4.6944,171100
38,35,3779,711,2493,679,2.9781,109000
38,29,3108,534,1687,516,4.3333,170800
37.99,24,4865,968,2315,893,4.2852,173500
38,32,2275,397,1233,418,4.0437,162800
37.99,42,1531,326,1271,377,2.6167,85100
37.98,3,2850,544,1024,515,6.0115,175000
37.99,4,3999,1079,1591,887,3.911,112500
38,33,44,6,23,11,4.125,212500
37.96,39,246,57,316,52,0.716,104200
37.96,31,1157,276,956,232,1.5347,80400
37.95,40,408,102,302,81,1.8333,69800
37.95,35,215,45,100,34,1.6023,81300
37.95,32,1298,363,716,268,0.9797,76400
37.96,37,1572,402,1046,350,0.7403,68600
37.98,36,60,15,42,25,1.4583,67500
37.98,33,2014,410,1354,427,3.9773,131300
37.98,34,3756,726,2237,686,3.7562,132900
37.97,19,392,109,287,81,6.0426,110000
37.96,32,1991,504,1139,423,2.0353,113600
37.97,43,2178,482,1545,471,2.5863,112200
37.97,31,2892,685,2104,641,3.2188,113800
37.97,33,1595,292,991,300,4.6937,134100
37.97,33,1156,190,643,209,4.5,156600
37.97,19,5151,1335,2548,1165,3.3125,158800
37.98,32,1967,348,1144,364,4.4135,150100
37.97,45,1982,376,1179,398,3.5463,130800
37.97,19,2237,580,1438,551,2.3382,120700
37.96,46,1222,236,819,251,3.9118,129400
